ticker,l_name
042670.KS,"HD Hyundai Infracore Co., Ltd"
267270.KS,"HD Hyundai Construction Equipment Co.,Ltd."
241560.KS,Doosan Bobcat Inc.
CAT,Caterpillar Inc.
VOLV-B.ST,AB Volvo
KMTUY,Komatsu Ltd.
HTHIY,"Hitachi, Ltd."
600031.SS,"Sany Heavy Industry Co., Ltd"
000425.SZ,"XCMG Construction Machinery Co., Ltd."
000157.SZ,"Zoomlion Heavy Industry Science and Technology Co.,Ltd."
005380.KS,Hyundai Motor Company
005930.KS,"Samsung Electronics Co., Ltd."
